Comment,Designator,Footprint,LCSC
1,"R64,R65",R_1206_3216Metric,C1409
1uf/10v,"C5,C6",C_0402_1005Metric,C14445
100n,"C1,C10,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C143,C17,C18,C19,C2,C20,C21,C22,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric,C1525
10K,R3,R_0603_1608Metric,C15401
JST SH 4-pin,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
2u2,"C142,C23",C_0805_2012Metric,C1731
100u,C16,C_1206_3216Metric,C2158564
SW_SPST_B3SL-1002P,SW1,SW_SPST_B3SL-1002P,C223821
SLSS49E-3,"HALL1,HALL10,HALL11,HALL12,HALL13,HALL14,HALL15,HALL16,HALL17,HALL18,HALL19,HALL2,HALL20,HALL21,HALL22,HALL23,HALL24,HALL25,HALL26,HALL27,HALL28,HALL29,HALL3,HALL30,HALL31,HALL32,HALL33,HALL34,HALL35,HALL36,HALL37,HALL38,HALL39,HALL4,HALL40,HALL41,HALL42,HALL43,HALL44,HALL45,HALL46,HALL47,HALL48,HALL49,HALL5,HALL50,HALL51,HALL52,HALL53,HALL54,HALL55,HALL56,HALL57,HALL58,HALL59,HALL6,HALL60,HALL61,HALL7,HALL8,HALL9",SLSS49E-3 with MX holes 3,C2904393
10nf/10v,"C4,C7",C_0402_1005Metric,C346179
120R @ 100MHz,FB2,L_0805_2012Metric,C41330
10u,C15,C_1206_3216Metric,C4988312
20Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C521593
4u7/10v,C3,C_0402_1005Metric,C77004
10k,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R7,R8,R9",R_0402_1005Metric,C881063
600 @ 100Mhz,FB1,L_0603_1608Metric,C97120
74HC4067,U6,TSSOP-24_4.4x7.8mm_P0.65mm,
AMS1117-3.3,U2,SOT-223-3_TabPin2,
74HC4067,U7,TSSOP-24_4.4x7.8mm_P0.65mm,
33pf,C14,C_0402_1005Metric,
74HC4067,U8,TSSOP-24_4.4x7.8mm_P0.65mm,
SSAJ120100,U3,SSAJ120100,
74HC4067,U4,TSSOP-24_4.4x7.8mm_P0.65mm,
74HC4067,U5,TSSOP-24_4.4x7.8mm_P0.65mm,
270,R2,R_0402_1005Metric,
STM32G473CBTx,U1,LQFP-48_7x7mm_P0.5mm,
33pf,C13,C_0402_1005Metric,
