Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,4.417256,-8.4135,270.0,bottom
C2,100n,C_0402_1005Metric,10.186256,-7.6585,270.0,bottom
C3,4u7/10v,C_0402_1005Metric,156.144956,-82.7573,180.0,bottom
C4,10nf/10v,C_0402_1005Metric,155.457549,-70.5123,90.0,bottom
C5,1uf/10v,C_0402_1005Metric,154.457549,-70.5123,90.0,bottom
C6,1uf/10v,C_0402_1005Metric,151.452268,-72.072488,0.0,bottom
C7,10nf/10v,C_0402_1005Metric,151.452268,-71.072488,0.0,bottom
C8,100nf,C_0402_1005Metric,148.884956,-83.7173,180.0,bottom
C9,100nf,C_0402_1005Metric,156.144956,-81.7273,180.0,bottom
C10,100n,C_0402_1005Metric,82.538956,-39.1299,90.0,bottom
C11,100nf,C_0402_1005Metric,155.054956,-73.1973,90.0,bottom
C12,100n,C_0402_1005Metric,20.407756,-39.1299,90.0,bottom
C13,33pf,C_0402_1005Metric,140.714956,-82.1598,90.0,bottom
C14,33pf,C_0402_1005Metric,140.704956,-80.2398,270.0,bottom
C15,10u,C_1206_3216Metric,45.3,-52.0,270.0,bottom
C16,100u,C_1206_3216Metric,53.6375,-57.8,0.0,bottom
C17,100nf,C_0402_1005Metric,98.224956,-88.8273,90.0,bottom
C18,100n,C_0402_1005Metric,23.467256,-8.4135,270.0,bottom
C19,100n,C_0402_1005Metric,29.236256,-7.6585,270.0,bottom
C20,100n,C_0402_1005Metric,139.795256,-39.1299,90.0,bottom
C21,100n,C_0402_1005Metric,254.095256,-38.4361,90.0,bottom
C22,100n,C_0402_1005Metric,200.945256,-39.1299,90.0,bottom
C23,2u2,C_0805_2012Metric,39.534956,-15.8,0.0,bottom
C24,100n,C_0402_1005Metric,42.517256,-8.4135,270.0,bottom
C25,100n,C_0402_1005Metric,48.286256,-7.6585,270.0,bottom
C26,100n,C_0402_1005Metric,61.567256,-8.4135,270.0,bottom
C27,100n,C_0402_1005Metric,67.336256,-7.6585,270.0,bottom
C28,100n,C_0402_1005Metric,80.617256,-8.4135,270.0,bottom
C29,100n,C_0402_1005Metric,86.386256,-7.6585,270.0,bottom
C30,100n,C_0402_1005Metric,99.667256,-8.4135,270.0,bottom
C31,100n,C_0402_1005Metric,105.436256,-7.6585,270.0,bottom
C32,100n,C_0402_1005Metric,118.717256,-8.4135,270.0,bottom
C33,100n,C_0402_1005Metric,124.486256,-7.6585,270.0,bottom
C34,100n,C_0402_1005Metric,137.767256,-8.4135,270.0,bottom
C35,100n,C_0402_1005Metric,143.536256,-7.6585,270.0,bottom
C36,100n,C_0402_1005Metric,156.817256,-8.4135,270.0,bottom
C37,100n,C_0402_1005Metric,162.586256,-7.6585,270.0,bottom
C38,100n,C_0402_1005Metric,175.867256,-8.4135,270.0,bottom
C39,100n,C_0402_1005Metric,181.636256,-7.6585,270.0,bottom
C40,100n,C_0402_1005Metric,194.917256,-8.4135,270.0,bottom
C41,100n,C_0402_1005Metric,200.686256,-7.6585,270.0,bottom
C42,100n,C_0402_1005Metric,213.967256,-8.4135,270.0,bottom
C43,100n,C_0402_1005Metric,219.736256,-7.6585,270.0,bottom
C44,100n,C_0402_1005Metric,233.017256,-8.4135,270.0,bottom
C45,100n,C_0402_1005Metric,238.786256,-7.6585,270.0,bottom
C46,100n,C_0402_1005Metric,261.592256,-8.4135,270.0,bottom
C47,100n,C_0402_1005Metric,267.361256,-7.6585,270.0,bottom
C48,100n,C_0402_1005Metric,9.179756,-27.4635,270.0,bottom
C49,100n,C_0402_1005Metric,14.948756,-26.7085,270.0,bottom
C50,100n,C_0402_1005Metric,32.992256,-27.4635,270.0,bottom
C51,100n,C_0402_1005Metric,38.761256,-26.7085,270.0,bottom
C52,100n,C_0402_1005Metric,52.042256,-27.4635,270.0,bottom
